channel_name,degree,strength,degree_centrality,betweenness,eigenvector,clustering,pagerank,total_views,avg_views,video_count,topic_label,avg_sentiment,community
Bryan Invest,26,209,0.7222222222222222,0.1096624979958313,0.4222122042671011,0.0404264493369473,0.1223906337085181,2242227,131895.70588235295,17,ETF & Dividends,0.1436647058823529,1
Raymond La,21,121,0.5833333333333333,0.0315671453766691,0.305233179516555,0.0403721780717957,0.0724475826172046,526586,52658.6,10,ETF & Dividends,0.33225,1
Rask,21,116,0.5833333333333333,0.0719080830985593,0.2298536374257037,0.0420019319507577,0.0737349116934231,914145,38089.375,24,Beginner & Education,0.1625083333333333,1
Invest With Queenie,19,76,0.5277777777777778,0.0364916741107217,0.1817401073531285,0.0348547195341797,0.0474703522764154,277259,46209.833333333336,6,ETF & Dividends,0.36155,1
Humphrey Yang,18,144,0.5,0.0092575414003985,0.3714265801853433,0.0594021362465116,0.0685985849393895,3361895,1120631.6666666667,3,Beginner & Education,0.0086,0
Steve | Call to Leap,17,139,0.4722222222222222,0.0543274009940676,0.3792286876936126,0.061380409040237,0.0663454243271959,5890720,1472680.0,4,ETF & Dividends,0.0,0
Nischa,17,68,0.4722222222222222,0.0576192766668957,0.1778401265208135,0.0398337880394749,0.0366073201644535,2457956,819318.6666666666,3,ASX Blue Chips,0.0,0
Mark Tilbury,16,165,0.4444444444444444,0.0337610801896516,0.414844522139882,0.067966361391532,0.0787755934709856,24029666,4805933.2,5,Beginner & Education,0.18296,0
Brent Coleman,14,28,0.3888888888888888,0.0266942669323621,0.0623909755179071,0.0343568423866096,0.0198134629443894,42166,10541.5,4,ASX Blue Chips,0.151725,1
Tracey Edwards,14,63,0.3888888888888888,0.017262534643487,0.1280843339033398,0.0528830655794466,0.040110299949923,80552,20138.0,4,ETF & Dividends,0.573125,1
Morningstar Australia,13,25,0.3611111111111111,0.0482701161272589,0.0571240319866104,0.0349325416600775,0.018317014491055,59844,9974.0,6,ETF & Dividends,0.2971666666666666,1
Jason McIntosh __ Motion Trader,13,24,0.3611111111111111,0.0739471815662291,0.0393787609039112,0.028533869987619,0.0205418483765974,27965,2542.2727272727275,11,Beginner & Education,0.0126454545454545,1
Wealth Within,13,31,0.3611111111111111,0.0914104766485719,0.0463543302420932,0.0312748602848951,0.0285111920011281,105500,8791.666666666666,12,ASX Blue Chips,0.1984166666666666,1
Irene Zhu,12,20,0.3333333333333333,0.0302610000229047,0.0432560502176009,0.0319139969387888,0.0157064621818307,24009,8003.0,3,ETF & Dividends,0.4257666666666666,1
The Ramsey Show Highlights,11,57,0.3055555555555555,0.0375101353672782,0.1808836854998111,0.0688829945848705,0.0288638210749762,6934682,3467341.0,2,Stock Research,0.2202,0
Livewire Markets,11,33,0.3055555555555555,0.0263764630431297,0.0492954342969509,0.0455620292935465,0.0257537413648411,126424,6653.894736842105,19,Beginner & Education,0.076278947368421,1
ausbiz,9,21,0.25,0.0135109599395313,0.0326690012331098,0.0451125003087779,0.0170404212124591,31665,879.5833333333334,36,Beginner & Education,0.048425,1
Veye Australia,9,10,0.25,0.0448420715087381,0.0222767833225021,0.0316912450860948,0.0098694997611849,19759,1162.2941176470588,17,Stock Research,0.3366823529411765,1
Davie Mach,9,26,0.25,0.0319488536155202,0.0736204197860359,0.0420833550194461,0.019025467794315,295385,147692.5,2,ASX Blue Chips,0.0,1
ETFadviser (Australia),9,16,0.25,0.0063668430335096,0.0385188893374216,0.0422838998037806,0.0128035632275318,39247,3019.0,13,ETF & Dividends,0.1162076923076923,1
Joyee Yang,9,66,0.25,0.0123015873015873,0.1844326424576889,0.0991243028849065,0.0327746699657446,1145248,572624.0,2,Beginner & Education,0.1806,0
Gohar Khan,8,53,0.2222222222222222,0.0091654641654641,0.1729547254190306,0.0943201918989505,0.0267934934514475,33242699,16621349.5,2,Beginner & Education,0.0,0
Craig Percoco,6,40,0.1666666666666666,0.0,0.1214319516309137,0.1450466718675919,0.0213382297538032,6117780,3058890.0,2,Stock Research,0.0,0
Ryne Williams,6,22,0.1666666666666666,0.0,0.0682793736026913,0.0961766481096852,0.0137022874709652,2320712,1160356.0,2,ETF & Dividends,0.0,0
Personal Finance with Ravi Sharma,5,6,0.1388888888888889,0.0616553287981859,0.0092374697631626,0.025156201481287,0.0130708662061412,23653,11826.5,2,Beginner & Education,0.0,1
Australian Investment Education,4,6,0.1111111111111111,0.007063492063492,0.0174616985319671,0.0538782669974015,0.0079045269129514,25585,6396.25,4,ETF & Dividends,0.09885,1
Australian Property Mastery with PK Gupta,4,4,0.1111111111111111,0.0124314574314574,0.0092861167339144,0.0428364500156226,0.0067398122362522,69985,9997.857142857143,7,ASX Blue Chips,0.1774428571428571,1
Universe Data,3,4,0.0833333333333333,0.0028427128427128,0.0102339373821371,0.0443474370029935,0.0065020236601819,227439,75813.0,3,Global Markets,0.5556333333333333,0
Equity Mates,3,7,0.0833333333333333,0.0,0.0229746853447026,0.0681650711364753,0.0080388141611705,181081,6964.653846153846,26,ETF & Dividends,0.1588153846153846,1
Finer Market Points,2,2,0.0555555555555555,0.0,0.0042916996311877,0.0185185185185185,0.0057134917691199,7023,2341.0,3,Stock Research,0.2320666666666666,0
Walk The World,1,1,0.0277777777777777,0.0,8.728135965642905e-05,0.0,0.0064318872365499,6594,3297.0,2,ASX Blue Chips,0.28485,1
Kapitales Research Australia,1,1,0.0277777777777777,0.0,0.0004379846258527,0.0,0.0053619362390749,5574,116.125,48,ETF & Dividends,-0.13154375,1
Bloomberg Podcasts,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.0045801526717557,1083,541.5,2,ASX Blue Chips,-0.0386,2
Carl Capolingua,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.0045801526717557,306,153.0,2,ASX Blue Chips,0.0,4
Sky News Australia,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.0045801526717557,11048,736.5333333333333,15,ASX Blue Chips,0.0821,5
Marcus Today,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.0045801526717557,7637,1091.0,7,ETF & Dividends,0.2271,6
Kalkine Media,0,0,0.0,0.0,4.048061573474165e-58,0.0,0.0045801526717557,461,230.5,2,ASX Blue Chips,0.0,3
